,f1-score,precision,recall,support
banded,0.525,0.525,0.525,40.0
blotchy,0.03333333333333333,0.05,0.025,40.0
braided,0.08571428571428572,0.1,0.075,40.0
bubbly,0.16438356164383564,0.18181818181818182,0.15,40.0
bumpy,0.056338028169014086,0.06451612903225806,0.05,40.0
chequered,0.2962962962962963,0.2926829268292683,0.3,40.0
cobwebbed,0.23655913978494625,0.20754716981132076,0.275,40.0
cracked,0.28,0.23333333333333334,0.35,40.0
crosshatched,0.3,0.3,0.3,40.0
crystalline,0.2608695652173913,0.3103448275862069,0.225,40.0
dotted,0.1971830985915493,0.22580645161290322,0.175,40.0
fibrous,0.13043478260869565,0.11538461538461539,0.15,40.0
flecked,0.19277108433734938,0.18604651162790697,0.2,40.0
freckled,0.34285714285714286,0.4,0.3,40.0
frilly,0.24691358024691357,0.24390243902439024,0.25,40.0
gauzy,0.28571428571428575,0.2972972972972973,0.275,40.0
grid,0.16216216216216214,0.17647058823529413,0.15,40.0
grooved,0.06976744186046512,0.06521739130434782,0.075,40.0
honeycombed,0.125,0.125,0.125,40.0
interlaced,0.14,0.11666666666666667,0.175,40.0
knitted,0.07792207792207792,0.08108108108108109,0.075,40.0
lacelike,0.2105263157894737,0.15053763440860216,0.35,40.0
lined,0.4835164835164835,0.43137254901960786,0.55,40.0
marbled,0.15909090909090912,0.14583333333333334,0.175,40.0
matted,0.061538461538461535,0.08,0.05,40.0
meshed,0.05000000000000001,0.05,0.05,40.0
paisley,0.24444444444444446,0.22,0.275,40.0
perforated,0.16867469879518074,0.16279069767441862,0.175,40.0
pitted,0.1518987341772152,0.15384615384615385,0.15,40.0
pleated,0.2028985507246377,0.2413793103448276,0.175,40.0
polka−dotted,0.2298850574712644,0.2127659574468085,0.25,40.0
porous,0.13698630136986303,0.15151515151515152,0.125,40.0
potholed,0.4050632911392405,0.41025641025641024,0.4,40.0
scaly,0.16129032258064516,0.22727272727272727,0.125,40.0
smeared,0.10958904109589042,0.12121212121212122,0.1,40.0
spiralled,0.025974025974025976,0.02702702702702703,0.025,40.0
sprinkled,0.05405405405405405,0.058823529411764705,0.05,40.0
stained,0.1917808219178082,0.21212121212121213,0.175,40.0
stratified,0.32608695652173914,0.28846153846153844,0.375,40.0
striped,0.410958904109589,0.45454545454545453,0.375,40.0
studded,0.46341463414634143,0.4523809523809524,0.475,40.0
swirly,0.05555555555555556,0.0625,0.05,40.0
veined,0.3037974683544304,0.3076923076923077,0.3,40.0
waffled,0.3544303797468355,0.358974358974359,0.35,40.0
woven,0.1627906976744186,0.15217391304347827,0.175,40.0
wrinkled,0.0923076923076923,0.12,0.075,40.0
zigzagged,0.2727272727272727,0.25,0.3,40.0
micro avg,0.2106382978723404,0.21063829787234042,0.21063829787234042,1880.0
macro avg,0.2063510838570897,0.20854463724751765,0.21063829787234048,1880.0
weighted avg,0.20635108385708975,0.20854463724751762,0.21063829787234042,1880.0
