,f1-score,precision,recall,support
banded,0.13513513513513511,0.14705882352941177,0.125,40.0
blotchy,0.03333333333333333,0.05,0.025,40.0
braided,0.08,0.08571428571428572,0.075,40.0
bubbly,0.0759493670886076,0.07692307692307693,0.075,40.0
bumpy,0.0,0.0,0.0,40.0
chequered,0.10000000000000002,0.1,0.1,40.0
cobwebbed,0.17391304347826086,0.15384615384615385,0.2,40.0
cracked,0.04597701149425288,0.0425531914893617,0.05,40.0
crosshatched,0.03225806451612903,0.045454545454545456,0.025,40.0
crystalline,0.10000000000000002,0.1,0.1,40.0
dotted,0.08333333333333331,0.09375,0.075,40.0
fibrous,0.07228915662650602,0.06976744186046512,0.075,40.0
flecked,0.21782178217821785,0.18032786885245902,0.275,40.0
freckled,0.3023255813953488,0.2826086956521739,0.325,40.0
frilly,0.24657534246575344,0.2727272727272727,0.225,40.0
gauzy,0.19780219780219782,0.17647058823529413,0.225,40.0
grid,0.1758241758241758,0.1568627450980392,0.2,40.0
grooved,0.06896551724137932,0.1111111111111111,0.05,40.0
honeycombed,0.02564102564102564,0.02631578947368421,0.025,40.0
interlaced,0.0,0.0,0.0,40.0
knitted,0.125,0.16666666666666666,0.1,40.0
lacelike,0.1782178217821782,0.14754098360655737,0.225,40.0
lined,0.11650485436893203,0.09523809523809523,0.15,40.0
marbled,0.05479452054794521,0.06060606060606061,0.05,40.0
matted,0.11904761904761904,0.11363636363636363,0.125,40.0
meshed,0.03333333333333333,0.05,0.025,40.0
paisley,0.05000000000000001,0.05,0.05,40.0
perforated,0.09302325581395349,0.08695652173913043,0.1,40.0
pitted,0.10126582278481013,0.10256410256410256,0.1,40.0
pleated,0.056338028169014086,0.06451612903225806,0.05,40.0
polka−dotted,0.15,0.15,0.15,40.0
porous,0.08888888888888889,0.08,0.1,40.0
potholed,0.2535211267605634,0.2903225806451613,0.225,40.0
scaly,0.10958904109589042,0.12121212121212122,0.1,40.0
smeared,0.02777777777777778,0.03125,0.025,40.0
spiralled,0.06976744186046512,0.06521739130434782,0.075,40.0
sprinkled,0.19277108433734938,0.18604651162790697,0.2,40.0
stained,0.05194805194805195,0.05405405405405406,0.05,40.0
stratified,0.08,0.08571428571428572,0.075,40.0
striped,0.15384615384615385,0.15789473684210525,0.15,40.0
studded,0.29629629629629634,0.23529411764705882,0.4,40.0
swirly,0.07317073170731707,0.07142857142857142,0.075,40.0
veined,0.22222222222222224,0.25,0.2,40.0
waffled,0.3119266055045872,0.2463768115942029,0.425,40.0
woven,0.2077922077922078,0.21621621621621623,0.2,40.0
wrinkled,0.03125,0.041666666666666664,0.025,40.0
zigzagged,0.06976744186046512,0.06521739130434782,0.075,40.0
micro avg,0.12287234042553191,0.12287234042553191,0.12287234042553191,1880.0
macro avg,0.11670647649573787,0.11610910573007695,0.12287234042553194,1880.0
weighted avg,0.11670647649573783,0.1161091057300769,0.12287234042553191,1880.0
