,f1-score,precision,recall,support
aluminum_foil,0.013761467889908256,0.026785714285714284,0.009259259259259259,324.0
brown_bread,0.914798206278027,0.8869565217391304,0.9444444444444444,324.0
corduroy,0.6862745098039216,0.9408602150537635,0.5401234567901234,324.0
cork,0.8122605363984674,0.6928104575163399,0.9814814814814815,324.0
cotton,0.006024096385542168,0.125,0.0030864197530864196,324.0
cracker,0.7581047381546134,0.6359832635983264,0.9382716049382716,324.0
lettuce leaf,0.21363636363636365,0.4051724137931034,0.14506172839506173,324.0
linen,0.07578947368421052,0.11920529801324503,0.05555555555555555,324.0
white_bread,0.4228723404255319,0.37149532710280375,0.49074074074074076,324.0
wood,0.08383233532934133,0.08139534883720931,0.08641975308641975,324.0
wool,0.45519429024583663,0.3062966915688367,0.8858024691358025,324.0
accuracy,0.4618406285072952,0.4618406285072952,0.4618406285072952,0.4618406285072952
macro avg,0.403868032566524,0.41745102286440655,0.4618406285072952,3564.0
weighted avg,0.403868032566524,0.4174510228644066,0.4618406285072952,3564.0
