,f1-score,precision,recall,support
aluminum_foil,0.025974025974025972,0.043478260869565216,0.018518518518518517,324.0
brown_bread,0.7337278106508875,0.5950095969289827,0.9567901234567902,324.0
corduroy,0.7037037037037037,0.8796296296296297,0.5864197530864198,324.0
cork,0.5404944586530264,0.37338044758539457,0.9783950617283951,324.0
cotton,0.005390835579514824,0.02127659574468085,0.0030864197530864196,324.0
cracker,0.5067873303167421,0.49557522123893805,0.5185185185185185,324.0
lettuce leaf,0.3162518301610541,0.3008356545961003,0.3333333333333333,324.0
linen,0.0,0.0,0.0,324.0
white_bread,0.35191637630662026,0.404,0.3117283950617284,324.0
wood,0.04835164835164835,0.08396946564885496,0.033950617283950615,324.0
wool,0.2936170212765957,0.22402597402597402,0.42592592592592593,324.0
accuracy,0.3787878787878788,0.3787878787878788,0.3787878787878788,0.3787878787878788
macro avg,0.32056500372489266,0.3110164405698291,0.37878787878787873,3564.0
weighted avg,0.32056500372489266,0.31101644056982913,0.3787878787878788,3564.0
