,f1-score,precision,recall,support
banded,0.19753086419753088,0.1951219512195122,0.2,40.0
blotchy,0.02985074626865672,0.037037037037037035,0.025,40.0
braided,0.0759493670886076,0.07692307692307693,0.075,40.0
bubbly,0.20253164556962025,0.20512820512820512,0.2,40.0
bumpy,0.0,0.0,0.0,40.0
chequered,0.02985074626865672,0.037037037037037035,0.025,40.0
cobwebbed,0.18604651162790697,0.17391304347826086,0.2,40.0
cracked,0.05405405405405405,0.058823529411764705,0.05,40.0
crosshatched,0.06741573033707865,0.061224489795918366,0.075,40.0
crystalline,0.1411764705882353,0.13333333333333333,0.15,40.0
dotted,0.12903225806451613,0.18181818181818182,0.1,40.0
fibrous,0.10416666666666666,0.08928571428571429,0.125,40.0
flecked,0.3146067415730337,0.2857142857142857,0.35,40.0
freckled,0.24324324324324323,0.2647058823529412,0.225,40.0
frilly,0.1038961038961039,0.10810810810810811,0.1,40.0
gauzy,0.2891566265060241,0.27906976744186046,0.3,40.0
grid,0.14285714285714288,0.16666666666666666,0.125,40.0
grooved,0.07547169811320756,0.15384615384615385,0.05,40.0
honeycombed,0.04938271604938272,0.04878048780487805,0.05,40.0
interlaced,0.027027027027027025,0.029411764705882353,0.025,40.0
knitted,0.10000000000000002,0.1,0.1,40.0
lacelike,0.13186813186813187,0.11764705882352941,0.15,40.0
lined,0.13636363636363635,0.125,0.15,40.0
marbled,0.15789473684210525,0.16666666666666666,0.15,40.0
matted,0.17204301075268816,0.1509433962264151,0.2,40.0
meshed,0.1016949152542373,0.07692307692307693,0.15,40.0
paisley,0.10666666666666666,0.11428571428571428,0.1,40.0
perforated,0.03333333333333333,0.05,0.025,40.0
pitted,0.06666666666666665,0.06,0.075,40.0
pleated,0.08823529411764705,0.10714285714285714,0.075,40.0
polka−dotted,0.12048192771084337,0.11627906976744186,0.125,40.0
porous,0.10526315789473685,0.09090909090909091,0.125,40.0
potholed,0.28260869565217395,0.25,0.325,40.0
scaly,0.07407407407407408,0.14285714285714285,0.05,40.0
smeared,0.08450704225352113,0.0967741935483871,0.075,40.0
spiralled,0.05555555555555556,0.0625,0.05,40.0
sprinkled,0.03125,0.041666666666666664,0.025,40.0
stained,0.14457831325301204,0.13953488372093023,0.15,40.0
stratified,0.12048192771084337,0.11627906976744186,0.125,40.0
striped,0.21782178217821785,0.18032786885245902,0.275,40.0
studded,0.3168316831683169,0.26229508196721313,0.4,40.0
swirly,0.08219178082191782,0.09090909090909091,0.075,40.0
veined,0.21176470588235294,0.2,0.225,40.0
waffled,0.3877551020408163,0.3275862068965517,0.475,40.0
woven,0.15,0.15,0.15,40.0
wrinkled,0.03448275862068966,0.05555555555555555,0.025,40.0
zigzagged,0.15217391304347824,0.1346153846153846,0.175,40.0
micro avg,0.1377659574468085,0.1377659574468085,0.1377659574468085,1880.0
macro avg,0.13042202493026295,0.1300563147278816,0.1377659574468085,1880.0
weighted avg,0.13042202493026292,0.1300563147278816,0.1377659574468085,1880.0
