,f1-score,precision,recall,support
aluminum_foil,0.6204238921001928,0.45098039215686275,0.9938271604938271,324.0
brown_bread,0.11267605633802817,0.16184971098265896,0.08641975308641975,324.0
corduroy,0.024309392265193366,0.0189328743545611,0.033950617283950615,324.0
cork,0.45969125214408235,0.5173745173745173,0.41358024691358025,324.0
cotton,0.38980509745127434,0.37900874635568516,0.4012345679012346,324.0
cracker,0.3844797178130512,0.448559670781893,0.33641975308641975,324.0
lettuce leaf,0.8300907911802853,0.7158836689038032,0.9876543209876543,324.0
linen,0.005602240896358543,0.030303030303030304,0.0030864197530864196,324.0
white_bread,0.77574047954866,0.7142857142857143,0.8487654320987654,324.0
wood,0.4981818181818182,0.6061946902654868,0.4228395061728395,324.0
wool,0.0,0.0,0.0,324.0
micro avg,0.4116161616161616,0.4116161616161616,0.4116161616161616,3564.0
macro avg,0.3728182489017222,0.3675793650694739,0.4116161616161616,3564.0
weighted avg,0.37281824890172227,0.367579365069474,0.4116161616161616,3564.0
