,f1-score,precision,recall,support
aluminum_foil,0.6673575129533678,0.5023400936037441,0.9938271604938271,324.0
brown_bread,0.4904679376083188,0.3409638554216867,0.8734567901234568,324.0
corduroy,0.012084592145015104,0.2857142857142857,0.006172839506172839,324.0
cork,0.2990353697749196,0.31208053691275167,0.28703703703703703,324.0
cotton,0.44685466377440347,0.7518248175182481,0.31790123456790126,324.0
cracker,0.03697996918335902,0.036923076923076927,0.037037037037037035,324.0
lettuce leaf,0.7171129220023282,0.5757009345794393,0.9506172839506173,324.0
linen,0.031746031746031744,0.037037037037037035,0.027777777777777776,324.0
white_bread,0.6361746361746361,0.9745222929936306,0.4722222222222222,324.0
wood,0.03508771929824561,0.036303630363036306,0.033950617283950615,324.0
wool,0.0048543689320388345,0.011363636363636364,0.0030864197530864196,324.0
micro avg,0.36391694725028056,0.36391694725028056,0.36391694725028056,3564.0
macro avg,0.3070687021447877,0.3513431088573248,0.36391694725028056,3564.0
weighted avg,0.30706870214478765,0.35134310885732484,0.36391694725028056,3564.0
