,f1-score,precision,recall,support
aluminum_foil,0.694054054054054,0.5341098169717138,0.9907407407407407,324.0
brown_bread,0.8030690537084398,0.6855895196506551,0.9691358024691358,324.0
corduroy,0.023188405797101446,0.19047619047619047,0.012345679012345678,324.0
cork,0.4422641509433962,0.29270729270729273,0.904320987654321,324.0
cotton,0.5437201907790143,0.5606557377049181,0.5277777777777778,324.0
cracker,0.45941807044410415,0.45592705167173253,0.46296296296296297,324.0
lettuce leaf,0.9180327868852459,0.8876080691642652,0.9506172839506173,324.0
linen,0.03485838779956427,0.05925925925925926,0.024691358024691357,324.0
white_bread,0.7715355805243447,0.9809523809523809,0.6358024691358025,324.0
wood,0.04891304347826087,0.20454545454545456,0.027777777777777776,324.0
wool,0.009153318077803204,0.017699115044247787,0.006172839506172839,324.0
micro avg,0.5011223344556678,0.5011223344556678,0.5011223344556678,3564.0
macro avg,0.43165518568102995,0.4426845352861918,0.5011223344556678,3564.0
weighted avg,0.4316551856810299,0.4426845352861918,0.5011223344556678,3564.0
