,f1-score,precision,recall,support
aluminum_foil,0.7361111111111112,0.5888888888888889,0.9814814814814815,324.0
brown_bread,0.48790322580645173,0.36227544910179643,0.7469135802469136,324.0
corduroy,0.0,0.0,0.0,324.0
cork,0.25196850393700787,0.19823008849557522,0.345679012345679,324.0
cotton,0.37267080745341613,0.5660377358490566,0.2777777777777778,324.0
cracker,0.18357487922705312,0.1919191919191919,0.17592592592592593,324.0
lettuce leaf,0.631578947368421,0.46153846153846156,1.0,324.0
linen,0.04787234042553191,0.17307692307692307,0.027777777777777776,324.0
white_bread,0.7445255474452555,0.9107142857142857,0.6296296296296297,324.0
wood,0.046181172291296625,0.05439330543933055,0.040123456790123455,324.0
wool,0.0,0.0,0.0,324.0
micro avg,0.3841189674523008,0.3841189674523008,0.3841189674523008,3564.0
macro avg,0.31839877591504956,0.3188249390930463,0.3841189674523008,3564.0
weighted avg,0.3183987759150495,0.3188249390930463,0.3841189674523008,3564.0
